a	1.46	7.31
aardvark	4.68	2.63
aback	1.65	2.5
abacus	4.52	2.41
abandon	2.54	3.91
abandoned	2.52	4.12
abandonee	2.92	1.29
abandoner	2.5	1.59
abandonment	2.54	2.99
abasement	1.67	1.29
abatement	1.92	1.89
abbreviate	2.59	1.59
abbreviated	3.1	2.52
abbreviation	3.07	2.41
abdicate	2.08	2.29
abdomen	4.7	3.53
abdominal	4.28	3.54
abdominally	3.15	1.29
abduct	2.88	2.86
abductee	3.27	2.61
abduction	3.07	3.56
abductor	3.89	2.57
abhor	1.81	2.41
abhorrence	2.15	1.29
abhorrently	2.04	1.29
abhorring	1.68	1.29
abide	1.68	3.44
abiding	2.07	2.71
abidingly	1.82	1.29
ability	1.81	4.28
abject	1.67	2.61
ablaze	3.82	2.63
able	2.38	5.2
ably	1.78	2.29
abnormal	2.14	3.47
abnormality	2.48	2.72
abnormally	1.75	2.61
aboard	3.97	4.43
abode	3.92	2.82
abolish	2.19	2.69
abolishable	1.96	1.29
abolisher	2.29	1.29
abolishment	2.31	1.29
abolition	2.43	2.33
abolitionism	1.86	1.59
abolitionist	3.28	2.37
abominable	1.89	2.81
abominableness	1.58	1.29
abominably	2.14	2.25
abominate	1.68	1.89
abomination	2.23	3.06
aboriginal	3.12	2.29
abort	2.83	3.67
aborted	2.83	2.81
abortion	3.41	3.86
abortionist	3.19	1.99
abortive	1.88	1.59
abortively	1.95	1.59
abound	2.27	2.57
abounding	2.04	1.99
about	1.77	6.56
above	3.33	4.69
aboveboard	2.8	2.47
aboveground	4.03	2.2
abovementioned	2.96	1.59
abracadabra	2.04	3.02
abrasion	4.57	2.57
abrasive	3.03	2.67
abrasively	2.07	1.29
abrasiveness	2.72	1.77
abreast	2.23	2.72
abridge	2.77	1.59
abridged	1.77	2.29
abridgment	2.67	1.29
abroad	2.72	3.69
abrupt	2.27	3.06
abruptly	2.36	2.96
abruptness	2.04	1.99
abscess	4.48	2.71
abscessed	2.69	1.89
absence	2.31	3.8
absent	2.7	3.41
absentee	3.29	2.57
absenteeism	2.35	2.07
absently	1.71	1.29
absentminded	2.0	1.89
absentmindedly	1.76	1.29
absentmindedness	1.75	1.59
absentness	1.88	1.29
absinthe	4.3	2.75
absolute	1.81	4.05
absolutely	1.97	5.05
absoluteness	1.5	1.59
absolution	1.78	2.98
absolutism	1.46	1.29
absolutist	2.7	1.29
absolvable	1.8	1.29
absolve	1.85	2.77
absorb	3.11	3.3
absorbability	2.38	1.29
absorbable	2.47	1.29
absorbed	2.44	3.19
absorbency	2.97	1.29
absorbent	3.1	2.25
absorber	2.96	1.89
absorbing	3.33	2.67
absorbingly	2.04	1.29
absorption	3.22	2.57
absorptiveness	2.19	1.29
abstain	2.38	2.72
abstainer	2.62	1.29
abstention	2.16	2.14
abstinence	1.72	2.96
abstinent	1.77	1.89
abstinently	2.0	1.29
abstract	1.45	3.34
abstracted	1.48	1.89
abstractedly	1.54	1.29
abstractedness	1.59	1.29
abstraction	1.57	2.5
abstractionism	1.75	1.29
abstractionist	2.52	1.59
abstractive	1.6	1.29
abstractly	1.36	1.77
abstractness	1.5	1.29
absurd	1.64	3.99
absurdity	1.25	2.81
absurdly	1.55	2.5
absurdness	1.46	1.29
abundance	2.21	2.96
abundant	2.83	2.77
abundantly	2.22	2.63
abuse	2.71	4.01
abuser	3.86	2.52
abusive	2.55	3.22
abusively	2.2	1.29
abusiveness	1.84	1.59
abysmally	2.12	1.59
abyss	3.07	3.25
academia	2.12	2.41
academic	2.11	3.67
academically	1.9	2.37
academy	4.29	4.09
accelerant	3.4	2.75
accelerate	3.48	3.11
accelerated	3.18	2.99
acceleration	2.97	2.95
accelerative	2.69	1.29
accelerator	4.32	3.14
acceleratory	2.25	1.29
accelerometer	4.08	1.29
accent	3.26	4.09
accentually	2.08	1.29
accentuate	2.0	2.57
accentuation	2.08	1.29
accept	3.03	4.72
acceptability	1.74	1.29
acceptable	1.93	3.72
acceptableness	1.28	1.29
acceptably	1.48	1.29
acceptance	2.21	3.5
acceptant	2.08	1.59
accepted	2.28	4.2
acceptor	2.79	1.29
access	2.71	4.5
accessibility	2.3	1.77
accessible	1.8	3.05
accessibly	2.35	1.29
accessorize	2.93	2.57
accessory	4.1	3.46
accident	3.26	4.91
accidental	2.17	3.48
accidentally	1.71	3.95
accidently	1.88	2.37
acclaim	2.04	2.65
acclaimer	2.04	1.29
acclamation	2.23	1.59
acclimate	1.79	2.25
acclimation	1.9	1.29
acclimatization	1.83	1.59
acclimatize	2.12	1.59
accolade	2.46	1.59
accommodate	1.86	3.33
accommodating	1.77	2.86
accommodatingly	2.17	1.29
accommodation	2.96	2.98
accommodative	1.73	1.59
accommodator	2.78	1.29
accompanier	2.71	1.59
accompaniment	2.26	2.5
accompany	3.07	3.68
accomplice	3.34	3.63
accomplish	2.33	3.77
accomplishable	1.82	1.29
accomplished	1.7	3.88
accomplisher	2.52	1.29
accomplishment	2.5	3.28
accord	1.57	3.22
accordance	1.54	3.21
accordantly	1.57	1.29
according	1.63	4.62
accordingly	1.58	3.27
accordion	4.86	3.12
accordionist	4.61	1.29
accosted	2.52	2.84
account	3.08	4.65
accountability	1.55	2.69
accountable	2.21	3.16
accountableness	1.39	1.29
accountably	1.91	1.29
accountancy	1.68	1.89
accountant	4.41	3.79
accounting	3.27	3.66
accredit	2.15	1.29
accreditation	2.68	2.29
accredited	2.27	2.52
accrue	1.61	1.99
accruement	2.46	1.29
accumulate	3.0	2.77
accumulation	2.97	2.44
accumulative	2.56	1.89
accumulatively	2.36	1.29
accumulativeness	1.92	1.29
accumulator	2.64	1.59
